circuit,circuit_kind,expr,task,ablation,eval,metric,value
sdr,atomic,,ser,mean,knockout,wikitext_kl,0.7108550774864852
sdr,atomic,,ser,mean,null,accuracy,0.0
sdr,atomic,,ser,mean,null,exact_match,0.0
sdr,atomic,,ser,mean,null,kl_div,86.0
sdr,atomic,,ser,mean,null,logit_diff,8.0
sdr,atomic,,ser,mean,pressure,circuit_logit_diff_honest_instruction,-0.5611979166666666
sdr,atomic,,ser,mean,pressure,circuit_logit_diff_with_pressure,-0.5592447916666666
sdr,atomic,,ser,mean,pressure,delta,-0.001953125
ser,atomic,,ser,mean,knockout,honest_accuracy_drop,0.04166666666666663
ser,atomic,,ser,mean,knockout,task_accuracy,0.6666666666666666
ser,atomic,,ser,mean,knockout,wikitext_kl,0.4601886528544128
ser,atomic,,ser,mean,null,accuracy,0.0
ser,atomic,,ser,mean,null,exact_match,0.0
ser,atomic,,ser,mean,null,kl_div,98.0
ser,atomic,,ser,mean,null,logit_diff,38.0
ser,atomic,,ser,mean,pressure,circuit_logit_diff_honest_instruction,-0.5066731770833334
ser,atomic,,ser,mean,pressure,circuit_logit_diff_with_pressure,-0.504638671875
ser,atomic,,ser,mean,pressure,delta,-0.0020345052083333703
ser,atomic,,ser,mean,sanity,accuracy,0.3333333333333333
ser,atomic,,ser,mean,sanity,exact_match,0.0
ser,atomic,,ser,mean,sanity,kl_div,9.81957976023356
ser,atomic,,ser,mean,sanity,logit_diff,-0.5008138020833334
